ID,Category,Question,Answer,Answer_Length
1,Greeting,hi,Hello! Welcome to the College Query Chatbot.,44
2,Greeting,hello,Hi! How can I help you today?,29
3,Greeting,good morning,Good Morning! Welcome to our college.,37
4,Greeting,good evening,Good Evening! How can I assist you?,35
5,Greeting,bye,Thank you! Have a nice day.,27
6,Greeting,how are you,I am doing great! How can I help you?,37
7,Greeting,who are you,I am the College Query Chatbot.,31
8,Greeting,thank you,You're welcome! Happy to help.,30
9,Greeting,thanks,You're welcome.,15
10,Greeting,good night,Good Night! Take care.,22
11,Admission,admission,Please visit the Admission Office for admission details.,56
12,Admission,admission process,You can apply online or visit the Admission Office.,51
13,Admission,eligibility,Please check the eligibility criteria on the college website.,61
14,Admission,application form,Application forms are available on the college website.,55
15,Admission,admission fee,Please contact the Accounts Office for fee details.,51
16,Admission,last date for admission,Please check the academic calendar for admission deadlines.,59
18,Admission,management quota,Please contact the Admission Office for management quota details.,65
19,Admission,lateral entry,Lateral entry admissions are available for eligible diploma students.,69
20,Admission,scholarship,Scholarships are available for eligible students.,49
22,Courses,branches,Our college offers multiple engineering branches.,49
23,Courses,computer science,CSE is one of our popular engineering programs.,47
24,Courses,information technology,IT focuses on software development and networking.,50
25,Courses,artificial intelligence,AIML specializes in Artificial Intelligence and Machine Learning.,65
26,Courses,civil engineering,Civil Engineering focuses on construction and infrastructure.,61
27,Courses,mechanical engineering,Mechanical Engineering deals with machines and manufacturing.,61
28,Courses,electronics,ECE focuses on electronics and communication systems.,53
29,Courses,electrical engineering,EEE deals with electrical systems and power engineering.,56
30,Courses,duration of course,B.Tech course duration is 4 years.,34
31,Library,library,The library is open from 9 AM to 5 PM.,38
32,Library,library timing,Library working hours are 9 AM to 5 PM.,39
33,Library,library books,Students can borrow books using their library ID.,49
34,Library,digital library,Digital library facilities are available.,41
35,Library,library card,Students receive a library card after admission.,48
36,Library,book issue,Books can be issued for 14 days.,32
37,Library,book return,Please return books before the due date.,40
38,Library,newspapers,Daily newspapers and magazines are available.,45
39,Library,reference books,Reference books can be used inside the library.,47
40,Library,library rules,Maintain silence and handle books carefully.,44
41,Hostel,hostel,Hostel facilities are available for boys and girls.,51
42,Hostel,hostel fee,Please contact the Hostel Office for fee details.,49
43,Hostel,hostel rooms,Both shared and individual rooms are available.,47
45,Hostel,mess,Healthy food is provided in the hostel mess.,44
46,Hostel,hostel timing,Students should follow hostel timing rules.,43
47,Hostel,hostel warden,Each hostel has a dedicated warden.,35
48,Hostel,room allocation,Rooms are allocated during admission.,37
49,Hostel,hostel rules,Students must follow hostel regulations.,40
50,Hostel,leave permission,Leave permission should be approved by the warden.,50
